drought_region_id,year_month,saturation_ratio
32,1993-03,0.9984
32,1993-04,0.929
32,1993-05,0.9172
32,1993-06,0.926
32,1993-07,0.9720000000000001
32,1993-08,0.8503999999999999
32,1993-09,0.999
32,1993-10,1.0
32,1993-11,1.0
32,1993-12,1.0
32,1994-01,1.0
32,1994-02,1.0
32,1994-03,1.0
32,1994-04,0.996
32,1994-05,0.9827999999999999
32,1994-06,0.94275
32,1994-07,0.59575
32,1994-08,0.7718
32,1994-09,0.993
32,1994-10,0.9768000000000001
32,1994-11,1.0
32,1994-12,1.0
32,1995-01,1.0
32,1995-02,1.0
32,1995-03,1.0
32,1995-04,0.9925
32,1995-05,0.9632
32,1995-06,0.9315
32,1995-07,0.497
32,1995-08,0.86825
32,1995-09,0.99675
32,1995-10,0.93
32,1995-11,0.9970000000000001
32,1995-12,1.0
32,1996-01,1.0
32,1996-02,1.0
32,1996-03,0.99975
32,1996-04,0.8766
32,1996-05,0.9944999999999999
32,1996-06,0.8285
32,1996-07,0.7316
32,1996-08,0.97775
32,1996-09,0.9444000000000001
32,1996-10,0.99
32,1996-11,0.99975
32,1996-12,1.0
32,1997-01,1.0
32,1997-02,1.0
32,1997-03,0.9882
32,1997-04,0.819
32,1997-05,0.9117500000000001
32,1997-06,0.8688
32,1997-07,0.9944999999999999
32,1997-08,0.74625
32,1997-09,0.8492000000000001
32,1997-10,0.90275
32,1997-11,0.98375
32,1997-12,0.9986
32,1998-01,0.9995
32,1998-02,0.9975
32,1998-03,0.9948
32,1998-04,0.99975
32,1998-05,0.519
32,1998-06,0.8558
32,1998-07,0.58125
32,1998-08,0.7135999999999999
32,1998-09,0.9835
32,1998-10,0.99875
32,1998-11,1.0
32,1998-12,0.99975
32,1999-01,1.0
32,1999-02,1.0
32,1999-03,0.9994
32,1999-04,0.9995
32,1999-05,0.9890000000000001
32,1999-06,0.98275
32,1999-07,0.87425
32,1999-08,0.8712
32,1999-09,0.666
32,1999-10,0.9995
32,1999-11,1.0
32,1999-12,1.0
32,2000-01,1.0
32,2000-02,1.0
32,2000-03,0.99775
32,2000-04,0.993
32,2000-05,0.7974
32,2000-06,0.781
32,2000-07,0.9466000000000001
32,2000-08,0.8345
32,2000-09,0.917
32,2000-10,0.9718
32,2000-11,0.9975
32,2000-12,1.0
32,2001-01,1.0
32,2001-02,1.0
32,2001-03,1.0
32,2001-04,0.9986
32,2001-05,0.9097500000000001
32,2001-06,0.963
32,2001-07,0.877
32,2001-08,0.8297500000000001
32,2001-09,0.9915
32,2001-10,0.9922000000000001
32,2001-11,1.0
32,2001-12,1.0
32,2002-01,0.99975
32,2002-02,0.99925
32,2002-03,0.9902500000000001
32,2002-04,0.9353999999999999
32,2002-05,0.9825
32,2002-06,0.81575
32,2002-07,0.791
32,2002-08,0.8912500000000001
32,2002-09,0.9812000000000001
32,2002-10,0.99975
32,2002-11,1.0
32,2002-12,1.0
32,2003-01,1.0
32,2003-02,1.0
32,2003-03,0.9349999999999999
32,2003-04,0.8205
32,2003-05,0.91775
32,2003-06,0.3798
32,2003-07,0.286
32,2003-08,0.18125000000000002
32,2003-09,0.6654
32,2003-10,0.9644999999999999
32,2003-11,0.98525
32,2003-12,0.9944000000000001
32,2004-01,0.9995
32,2004-02,1.0
32,2004-03,0.9996
32,2004-04,0.9410000000000001
32,2004-05,0.8960000000000001
32,2004-06,0.7785
32,2004-07,0.7315
32,2004-08,0.877
32,2004-09,0.893
32,2004-10,0.9722500000000001
32,2004-11,0.9990000000000002
32,2004-12,0.9995
32,2005-01,1.0
32,2005-02,1.0
32,2005-03,1.0
32,2005-04,0.9970000000000001
32,2005-05,0.9556000000000001
32,2005-06,0.48824999999999996
32,2005-07,0.5469999999999999
32,2005-08,0.8016
32,2005-09,0.871
32,2005-10,0.9507999999999999
32,2005-11,0.9532499999999999
32,2005-12,0.99325
32,2006-01,0.9990000000000002
32,2006-02,0.99975
32,2006-03,0.9995
32,2006-04,0.9982500000000001
32,2006-05,0.9970000000000001
32,2006-06,0.6332500000000001
32,2006-07,0.4364
32,2006-08,0.97175
32,2006-09,0.9764999999999999
32,2006-10,0.9978
32,2006-11,0.99275
32,2006-12,0.99975
32,2007-01,1.0
32,2007-02,0.99975
32,2007-03,0.99975
32,2007-04,0.6686
32,2007-05,0.9705
32,2007-06,0.99875
32,2007-07,0.9880000000000001
32,2007-08,0.97925
32,2007-09,0.9730000000000001
32,2007-10,0.9398
32,2007-11,0.975
32,2007-12,1.0
32,2008-01,1.0
32,2008-02,0.998
32,2008-03,1.0
32,2008-04,0.99925
32,2008-05,0.817
32,2008-06,0.726
32,2008-07,0.7895
32,2008-08,0.8412499999999999
32,2008-09,0.9560000000000001
32,2008-10,0.9802500000000001
32,2008-11,0.9995
32,2008-12,1.0
32,2009-01,1.0
32,2009-02,1.0
32,2009-03,0.9996
32,2009-04,0.9085
32,2009-05,0.8205
32,2009-06,0.6980000000000001
32,2009-07,0.9185
32,2009-08,0.6428
32,2009-09,0.5605
32,2009-10,0.773
32,2009-11,0.9718
32,2009-12,0.9995
32,2010-01,1.0
32,2010-02,1.0
32,2010-03,0.9986
32,2010-04,0.80925
32,2010-05,0.9644
32,2010-06,0.85725
32,2010-07,0.4325
32,2010-08,0.9667999999999999
32,2010-09,0.9357500000000001
32,2010-10,0.9410000000000001
32,2010-11,0.9960000000000001
32,2010-12,1.0
32,2011-01,1.0
32,2011-02,0.9845
32,2011-03,0.981
32,2011-04,0.6115
32,2011-05,0.3342
32,2011-06,0.74425
32,2011-07,0.784
32,2011-08,0.7468
32,2011-09,0.89675
32,2011-10,0.9334
32,2011-11,0.9135
32,2011-12,0.999
32,2012-01,1.0
32,2012-02,1.0
32,2012-03,0.96775
32,2012-04,0.9842000000000001
32,2012-05,0.877
32,2012-06,0.9365
32,2012-07,0.817
32,2012-08,0.645
32,2012-09,0.9510000000000001
32,2012-10,0.9880000000000001
32,2012-11,0.99975
32,2012-12,1.0
32,2013-01,1.0
32,2013-02,1.0
32,2013-03,1.0
32,2013-04,0.9992000000000001
32,2013-05,0.9985
32,2013-06,0.9615
32,2013-07,0.6849999999999999
32,2013-08,0.8035
32,2013-09,0.8914
32,2013-10,0.9930000000000001
32,2013-11,1.0
32,2013-12,1.0
32,2014-01,1.0
32,2014-02,1.0
32,2014-03,0.9621999999999999
32,2014-04,0.83375
32,2014-05,0.9895
32,2014-06,0.6146
32,2014-07,0.98
32,2014-08,0.99075
32,2014-09,0.9385999999999999
32,2014-10,0.9924999999999999
32,2014-11,0.999
32,2014-12,0.9998000000000001
32,2015-01,1.0
32,2015-02,1.0
32,2015-03,0.9902000000000001
32,2015-04,0.9475
32,2015-05,0.95925
32,2015-06,0.6968000000000001
32,2015-07,0.19725
32,2015-08,0.41559999999999997
32,2015-09,0.62175
32,2015-10,0.87075
32,2015-11,0.893
32,2015-12,0.98525
32,2016-01,0.99925
32,2016-02,1.0
32,2016-03,0.99725
32,2016-04,0.9975
32,2016-05,0.9924
32,2016-06,0.998
32,2016-07,0.845
32,2016-08,0.6234
32,2016-09,0.7015
32,2016-10,0.7904
32,2016-11,0.999
32,2016-12,0.90225
32,2017-01,0.9422
32,2017-02,0.99975
32,2017-03,0.98675
32,2017-04,0.6925
32,2017-05,0.908
32,2017-06,0.666
32,2017-07,0.6719999999999999
32,2017-08,0.74825
32,2017-09,0.771
32,2017-10,0.7497999999999999
32,2017-11,0.98175
32,2017-12,0.9995
32,2018-01,1.0
32,2018-02,1.0
32,2018-03,1.0
32,2018-04,0.739
32,2018-05,0.8125
32,2018-06,0.7725
32,2018-07,0.5065999999999999
32,2018-08,0.34275
32,2018-09,0.437
32,2018-10,0.45380000000000004
32,2018-11,0.874
32,2018-12,0.9924000000000002
32,2019-01,0.9990000000000001
32,2019-02,0.99275
32,2019-03,0.98825
32,2019-04,0.9311999999999999
32,2019-05,0.9890000000000001
32,2019-06,0.847
32,2019-07,0.39180000000000004
32,2019-08,0.8260000000000001
32,2019-09,0.5576000000000001
